==> 0100:  JP 4701h            PC:4701 AF:ffff BC:0000 DE:0000 HL:0000 SP:f07e IX:0000 IY:0000 Flags:11111111 [c3 01 47]
==> 4701:  LD HL, 4906h        PC:4704 AF:ffff BC:0000 DE:0000 HL:4906 SP:f07e IX:0000 IY:0000 Flags:11111111 [21 06 49]
==> 4704:  LD SP, HL           PC:4705 AF:ffff BC:0000 DE:0000 HL:4906 SP:4906 IX:0000 IY:0000 Flags:11111111 [f9 22 2b]
==> 4705:  LD (072bh), HL      PC:4708 AF:ffff BC:0000 DE:0000 HL:4906 SP:4906 IX:0000 IY:0000 Flags:11111111 [22 2b 07]
==> 4708:  LD (0a17h), HL      PC:470b AF:ffff BC:0000 DE:0000 HL:4906 SP:4906 IX:0000 IY:0000 Flags:11111111 [22 17 0a]
==> 470b:  LD HL, (0001h)      PC:470e AF:ffff BC:0000 DE:0000 HL:ff03 SP:4906 IX:0000 IY:0000 Flags:11111111 [2a 01 00]
==> 470e:  LD BC, 0004h        PC:4711 AF:ffff BC:0004 DE:0000 HL:ff03 SP:4906 IX:0000 IY:0000 Flags:11111111 [01 04 00]
==> 4711:  ADD HL, BC          PC:4712 AF:ffec BC:0004 DE:0000 HL:ff07 SP:4906 IX:0000 IY:0000 Flags:11101100 [09 5e 23]
==> 4712:  LD E, (HL)          PC:4713 AF:ffec BC:0004 DE:0082 HL:ff07 SP:4906 IX:0000 IY:0000 Flags:11101100 [5e 23 56]
==> 4713:  INC HL              PC:4714 AF:ffec BC:0004 DE:0082 HL:ff08 SP:4906 IX:0000 IY:0000 Flags:11101100 [23 56 eb]
==> 4714:  LD D, (HL)          PC:4715 AF:ffec BC:0004 DE:ff82 HL:ff08 SP:4906 IX:0000 IY:0000 Flags:11101100 [56 eb 22]
==> 4715:  EX DE, HL           PC:4716 AF:ffec BC:0004 DE:ff08 HL:ff82 SP:4906 IX:0000 IY:0000 Flags:11101100 [eb 22 74]
==> 4716:  LD (1374h), HL      PC:4719 AF:ffec BC:0004 DE:ff08 HL:ff82 SP:4906 IX:0000 IY:0000 Flags:11101100 [22 74 13]
==> 4719:  LD (1248h), HL      PC:471c AF:ffec BC:0004 DE:ff08 HL:ff82 SP:4906 IX:0000 IY:0000 Flags:11101100 [22 48 12]
==> 471c:  EX DE, HL           PC:471d AF:ffec BC:0004 DE:ff82 HL:ff08 SP:4906 IX:0000 IY:0000 Flags:11101100 [eb 23 23]
==> 471d:  INC HL              PC:471e AF:ffec BC:0004 DE:ff82 HL:ff09 SP:4906 IX:0000 IY:0000 Flags:11101100 [23 23 5e]
==> 471e:  INC HL              PC:471f AF:ffec BC:0004 DE:ff82 HL:ff0a SP:4906 IX:0000 IY:0000 Flags:11101100 [23 5e 23]
==> 471f:  LD E, (HL)          PC:4720 AF:ffec BC:0004 DE:ff83 HL:ff0a SP:4906 IX:0000 IY:0000 Flags:11101100 [5e 23 56]
==> 4720:  INC HL              PC:4721 AF:ffec BC:0004 DE:ff83 HL:ff0b SP:4906 IX:0000 IY:0000 Flags:11101100 [23 56 eb]
==> 4721:  LD D, (HL)          PC:4722 AF:ffec BC:0004 DE:ff83 HL:ff0b SP:4906 IX:0000 IY:0000 Flags:11101100 [56 eb 22]
==> 4722:  EX DE, HL           PC:4723 AF:ffec BC:0004 DE:ff0b HL:ff83 SP:4906 IX:0000 IY:0000 Flags:11101100 [eb 22 a5]
==> 4723:  LD (11a5h), HL      PC:4726 AF:ffec BC:0004 DE:ff0b HL:ff83 SP:4906 IX:0000 IY:0000 Flags:11101100 [22 a5 11]
==> 4726:  EX DE, HL           PC:4727 AF:ffec BC:0004 DE:ff83 HL:ff0b SP:4906 IX:0000 IY:0000 Flags:11101100 [eb 23 23]
==> 4727:  INC HL              PC:4728 AF:ffec BC:0004 DE:ff83 HL:ff0c SP:4906 IX:0000 IY:0000 Flags:11101100 [23 23 5e]
==> 4728:  INC HL              PC:4729 AF:ffec BC:0004 DE:ff83 HL:ff0d SP:4906 IX:0000 IY:0000 Flags:11101100 [23 5e 23]
==> 4729:  LD E, (HL)          PC:472a AF:ffec BC:0004 DE:ff84 HL:ff0d SP:4906 IX:0000 IY:0000 Flags:11101100 [5e 23 56]
==> 472a:  INC HL              PC:472b AF:ffec BC:0004 DE:ff84 HL:ff0e SP:4906 IX:0000 IY:0000 Flags:11101100 [23 56 eb]
==> 472b:  LD D, (HL)          PC:472c AF:ffec BC:0004 DE:ff84 HL:ff0e SP:4906 IX:0000 IY:0000 Flags:11101100 [56 eb 22]
==> 472c:  EX DE, HL           PC:472d AF:ffec BC:0004 DE:ff0e HL:ff84 SP:4906 IX:0000 IY:0000 Flags:11101100 [eb 22 68]
==> 472d:  LD (1168h), HL      PC:4730 AF:ffec BC:0004 DE:ff0e HL:ff84 SP:4906 IX:0000 IY:0000 Flags:11101100 [22 68 11]
==> 4730:  EX DE, HL           PC:4731 AF:ffec BC:0004 DE:ff84 HL:ff0e SP:4906 IX:0000 IY:0000 Flags:11101100 [eb 23 23]
==> 4731:  INC HL              PC:4732 AF:ffec BC:0004 DE:ff84 HL:ff0f SP:4906 IX:0000 IY:0000 Flags:11101100 [23 23 5e]
==> 4732:  INC HL              PC:4733 AF:ffec BC:0004 DE:ff84 HL:ff10 SP:4906 IX:0000 IY:0000 Flags:11101100 [23 5e 23]
==> 4733:  LD E, (HL)          PC:4734 AF:ffec BC:0004 DE:ff85 HL:ff10 SP:4906 IX:0000 IY:0000 Flags:11101100 [5e 23 56]
==> 4734:  INC HL              PC:4735 AF:ffec BC:0004 DE:ff85 HL:ff11 SP:4906 IX:0000 IY:0000 Flags:11101100 [23 56 eb]
==> 4735:  LD D, (HL)          PC:4736 AF:ffec BC:0004 DE:ff85 HL:ff11 SP:4906 IX:0000 IY:0000 Flags:11101100 [56 eb 22]
==> 4736:  EX DE, HL           PC:4737 AF:ffec BC:0004 DE:ff11 HL:ff85 SP:4906 IX:0000 IY:0000 Flags:11101100 [eb 22 0a]
==> 4737:  LD (110ah), HL      PC:473a AF:ffec BC:0004 DE:ff11 HL:ff85 SP:4906 IX:0000 IY:0000 Flags:11101100 [22 0a 11]
==> 473a:  LD HL, ffffh        PC:473d AF:ffec BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:11101100 [21 ff ff]
==> 473d:  LD (072dh), HL      PC:4740 AF:ffec BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:11101100 [22 2d 07]
==> 4740:  XOR A, A            PC:4741 AF:0044 BC:0004 DE:ff11 HL:ffff SP:4906 IX:0000 IY:0000 Flags:01000100 [af 32 2a]
